chapter number, title, wordcount, timestamp
244,"Gut Feeling – 17.2",4656,2017-02-09T00:01:31-04:00
245,"Gut Feeling – 17.3",4497,2017-02-11T00:01:24-04:00
246,"Gut Feeling – 17.4",4787,2017-02-14T00:01:23-04:00
247,"Gut Feeling – 17.5",4508,2017-02-18T00:01:40-04:00
248,"Gut Feeling – 17.6",4304,2017-02-21T00:01:02-04:00
249,"Gut Feeling – 17.7",4414,2017-02-23T00:01:15-04:00
250,"Gut Feeling – 17.8",3662,2017-02-25T00:01:13-04:00
251,"Gut Feeling – 17.9",4044,2017-02-28T00:01:58-04:00
252,"Gut Feeling – 17.10",4175,2017-03-04T00:01:39-04:00
253,"Gut Feeling – 17.11",3585,2017-03-07T00:01:17-04:00
254,"Gut Feeling – 17.12",5164,2017-03-11T00:01:18-04:00
255,"Gut Feeling – 17.13",4070,2017-03-14T00:01:35-04:00
256,"Gut Feeling – 17.14",4141,2017-03-18T00:01:56-04:00
257,"Gut Feeling – 17.15",4074,2017-03-21T00:01:54-04:00
258,"Gut Feeling – 17.16",5003,2017-03-23T00:01:21-04:00
259,"Gut Feeling – 17.17",5968,2017-03-25T00:01:43-04:00
260,"Gut Feeling – 17.18",4956,2017-03-28T00:01:14-04:00
261,"Lamb (Arc 17)",7127,2017-04-01T00:01:20-04:00
262,"Dog Eat Dog – 18.1",6277,2017-04-04T00:01:44-04:00
263,"Dog Eat Dog – 18.2",4272,2017-04-06T00:01:52-04:00
264,"Dog Eat Dog – 18.3",4784,2017-04-08T00:01:16-04:00
265,"Dog Eat Dog – 18.4",4291,2017-04-11T00:01:20-04:00
266,"Dog Eat Dog – 18.5",3695,2017-04-15T00:01:44-04:00
267,"Dog Eat Dog – 18.6",4221,2017-04-18T00:01:34-04:00
268,"Dog Eat Dog – 18.7",5200,2017-04-20T00:01:02-04:00
269,"Enemy I (Arc 18)",3450,2017-04-22T00:01:41-04:00
270,"Dog Eat Dog – 18.8",6236,2017-04-25T00:01:19-04:00
271,"Lamb I (Arc 18)",6794,2017-04-29T00:01:17-04:00
272,"Dog Eat Dog – 18.9",5089,2017-05-02T00:01:08-04:00
273,"Enemy II (Arc 18)",7147,2017-05-06T00:01:44-04:00
274,"Lamb II (Arc 18)",4819,2017-05-09T00:01:43-04:00
275,"Dog Eat Dog – 18.10",5637,2017-05-13T00:01:04-04:00
276,"Lamb III (Arc 18)",7034,2017-05-16T00:01:32-04:00
277,"Enemy III (Arc 18)",6825,2017-05-20T00:01:17-04:00
278,"Enemy IV (Arc 18)",5926,2017-05-23T00:01:00-04:00
279,"Enemy V (Arc 18)",6207,2017-05-27T00:01:55-04:00
280,"Root and Branch – 19.1",6125,2017-05-30T00:01:13-04:00
281,"Root and Branch – 19.2",5385,2017-06-03T00:01:09-04:00
282,"Root and Branch – 19.3",5356,2017-06-06T00:01:37-04:00
283,"Root and Branch – 19.4",6606,2017-06-10T00:01:42-04:00
284,"Root and Branch – 19.5",5130,2017-06-13T00:01:55-04:00
285,"Root and Branch – 19.6",5213,2017-06-17T00:01:57-04:00
286,"Root and Branch – 19.7",4201,2017-06-20T00:01:06-04:00
287,"Root and Branch – 19.8",5556,2017-06-24T00:01:23-04:00
288,"Root and Branch – 19.9",4200,2017-06-27T00:01:48-04:00
289,"Root and Branch – 19.10",4563,2017-07-01T00:01:17-04:00
290,"Root and Branch – 19.11",6351,2017-07-04T00:01:44-04:00
291,"Root and Branch – 19.12",4402,2017-07-08T00:01:35-04:00
292,"Root and Branch – 19.13",5502,2017-07-11T00:01:30-04:00
293,"Root and Branch – 19.14",5360,2017-07-15T00:01:19-04:00
294,"Root and Branch – 19.15",6616,2017-07-18T00:01:58-04:00
295,"Enemy (Arc 19)",5896,2017-07-22T00:01:24-04:00
296,"Crown of Thorns – 20.1",5237,2017-07-25T00:01:55-04:00
297,"Crown of Thorns – 20.2",4157,2017-07-29T00:01:03-04:00
298,"Crown of Thorns – 20.3",4533,2017-08-01T00:01:27-04:00
299,"Crown of Thorns – 20.4",4726,2017-08-05T00:01:35-04:00
300,"Enemy (Arc 20)",4429,2017-08-08T00:01:13-04:00
301,"Crown of Thorns – 20.5",5234,2017-08-12T00:01:17-04:00
302,"Crown of Thorns – 20.6",5061,2017-08-15T00:01:17-04:00
303,"Crown of Thorns – 20.7",4608,2017-08-19T00:01:18-04:00
